RA,Ano_Ref,Fase,Idade,Gênero,IAA,IEG,IPS,IDA,IPV,IAN,Mat,Por,Ing,IPP,Risco_Defasagem
RA-925,2023,ALFA,,Masculino,9.0,8.9,7.52,5.4,5.595,10.0,5.2,5.5,,5.625,0
RA-853,2023,ALFA,9.0,Feminino,10.0,9.5,3.77,7.4,9.84,5.0,7.2,7.5,,6.25,1
RA-854,2023,ALFA,,Feminino,0.0,9.5,3.77,6.0,8.01,10.0,7.5,4.5,,5.625,0
RA-700,2023,ALFA,9.0,Feminino,9.5,9.7,7.52,7.8,9.84,5.0,7.5,8.0,,6.25,1
RA-701,2023,ALFA,,Masculino,9.5,9.9,3.77,7.2,7.68,5.0,7.3,7.0,,6.25,1
RA-856,2023,ALFA,,Masculino,0.0,9.6,7.52,7.3,8.255,10.0,7.5,7.0,,5.625,0
RA-672,2023,ALFA,10.0,Feminino,7.9,9.5,2.52,6.4,6.43,5.0,6.0,6.7,,5.625,1
RA-859,2023,ALFA,8.0,Feminino,8.0,9.2,7.52,7.3,10.01,10.0,6.8,7.8,,7.5,0
RA-704,2023,ALFA,,Masculino,10.0,9.9,3.14,6.1,6.265,5.0,6.5,5.7,,5.625,1
RA-741,2023,ALFA,11.0,Feminino,9.5,6.9,4.39,5.1,7.095,5.0,4.2,6.0,,5.625,1
RA-719,2023,ALFA,,Masculino,9.5,5.3,7.52,5.9,7.095,5.0,7.0,4.7,,5.625,1
RA-926,2023,ALFA,9.0,Feminino,9.0,10.0,3.77,6.8,9.51,5.0,6.5,7.0,,7.5,1
RA-927,2023,ALFA,,Feminino,9.0,9.7,3.77,6.4,9.255,5.0,7.0,5.8,,7.5,1
RA-928,2023,ALFA,8.0,Feminino,8.5,10.0,7.52,9.8,9.67,10.0,9.8,9.8,,8.75,0
RA-929,2023,ALFA,8.0,Feminino,8.5,9.8,7.52,8.8,9.67,10.0,8.7,8.9,,8.75,0
RA-930,2023,ALFA,8.0,Masculino,9.0,8.8,7.52,9.0,9.0,10.0,8.7,9.3,,8.75,0
RA-931,2023,ALFA,,Masculino,8.5,8.2,2.52,7.8,7.6,10.0,7.0,8.5,,5.625,0
RA-932,2023,ALFA,7.0,Feminino,9.5,7.9,7.52,7.5,9.0,10.0,6.5,8.4,,8.125,0
RA-933,2023,ALFA,8.0,Feminino,9.0,8.4,7.52,7.7,9.67,10.0,8.0,7.3,,8.75,0
RA-934,2023,ALFA,8.0,Feminino,9.0,9.6,7.52,8.7,9.67,10.0,8.3,9.0,,9.375,0
RA-935,2023,ALFA,9.0,Masculino,0.0,9.8,7.52,9.4,9.67,5.0,9.2,9.5,,9.375,1
RA-936,2023,ALFA,,Feminino,9.0,10.0,7.52,6.5,8.915,10.0,5.0,8.0,,8.125,0
RA-937,2023,ALFA,,Feminino,9.5,9.6,7.52,9.2,9.67,10.0,9.0,9.3,,9.375,0
RA-756,2023,ALFA,,Masculino,10.0,8.7,7.52,6.1,6.59,5.0,5.4,6.8,,5.625,1
RA-938,2023,ALFA,,Masculino,8.5,8.4,7.52,4.2,7.5,5.0,0.0,8.3,,6.25,1
RA-939,2023,ALFA,,Feminino,9.0,10.0,7.52,5.4,10.01,5.0,5.0,5.7,,7.5,1
RA-789,2023,ALFA,8.0,Feminino,0.0,9.5,7.52,7.9,10.01,10.0,8.5,7.2,,7.5,0
RA-792,2023,ALFA,10.0,Feminino,9.0,7.7,7.52,7.2,9.085,5.0,6.8,7.5,,6.875,1
RA-940,2023,ALFA,,Masculino,9.0,8.4,2.52,6.3,7.02,5.0,6.8,5.7,,6.25,1
RA-941,2023,ALFA,,Feminino,8.0,10.0,7.52,5.0,8.175,10.0,5.0,5.0,,5.0,0
RA-942,2023,ALFA,10.0,Feminino,9.5,8.9,2.52,7.1,7.0,5.0,7.3,6.8,,5.625,1
RA-943,2023,ALFA,,Feminino,9.5,9.4,7.52,8.0,9.925,10.0,8.0,8.0,,7.5,0
RA-782,2023,ALFA,9.0,Masculino,8.5,9.8,2.52,7.5,9.345,5.0,8.3,6.7,,7.5,1
RA-768,2023,ALFA,,Feminino,10.0,9.1,7.52,7.9,10.01,5.0,8.0,7.8,,7.5,1
RA-794,2023,ALFA,,Feminino,9.0,9.2,7.52,6.2,10.01,5.0,5.2,7.2,,7.5,1
RA-795,2023,ALFA,9.0,Feminino,9.0,9.6,7.52,8.2,10.01,5.0,8.7,7.7,,7.5,1
RA-944,2023,ALFA,9.0,Feminino,9.0,7.6,7.52,7.5,6.67,5.0,9.2,5.8,,5.625,1
RA-945,2023,ALFA,,Masculino,8.5,9.2,7.52,7.9,6.84,10.0,8.0,7.8,,6.875,0
RA-946,2023,ALFA,,Masculino,9.5,9.4,7.52,9.3,7.0,10.0,9.0,9.5,,7.5,0
RA-754,2023,ALFA,,Masculino,9.5,6.1,2.52,5.6,6.67,5.0,5.7,5.4,,6.875,1
RA-947,2023,ALFA,,Masculino,9.0,7.9,7.52,3.3,5.08,10.0,1.7,4.9,,4.375,0
RA-948,2023,ALFA,8.0,Feminino,9.0,7.6,7.52,0.0,8.34,10.0,0.0,0.0,,6.875,0
RA-949,2023,ALFA,,Feminino,9.5,8.1,7.52,8.9,6.5,10.0,9.1,8.6,,6.25,0
RA-950,2023,ALFA,8.0,Feminino,9.0,10.0,7.52,9.3,8.17,10.0,9.5,9.0,,7.5,0
RA-773,2023,ALFA,9.0,Feminino,10.0,7.5,2.52,7.9,7.67,5.0,8.0,7.8,,5.625,1
RA-951,2023,ALFA,7.0,Feminino,9.5,9.7,7.52,8.4,9.09,10.0,8.5,8.3,,7.5,0
RA-769,2023,ALFA,10.0,Feminino,10.0,9.3,3.77,8.0,8.675,5.0,8.2,7.8,,7.8125,1
RA-952,2023,ALFA,8.0,Masculino,9.5,9.2,3.77,9.0,8.425,10.0,8.8,9.2,,7.1875,0
RA-826,2023,ALFA,,Masculino,10.0,10.0,3.77,7.3,8.34,5.0,7.0,7.5,,7.8125,1
RA-953,2023,ALFA,,Feminino,7.4,8.8,3.14,8.3,7.09,10.0,8.5,8.0,,6.5625,0
RA-954,2023,ALFA,8.0,Feminino,0.0,8.3,3.14,7.7,8.005,10.0,7.8,7.5,,7.1875,0
RA-780,2023,ALFA,10.0,Feminino,9.5,8.8,3.14,8.3,8.675,5.0,8.0,8.5,,8.75,1
RA-955,2023,ALFA,10.0,Feminino,9.0,8.8,3.14,7.8,7.09,5.0,8.0,7.5,,6.875,1
RA-831,2023,ALFA,9.0,Masculino,8.0,9.4,3.77,8.3,8.59,5.0,8.8,7.8,,7.8125,1
RA-783,2023,ALFA,,Masculino,9.5,6.8,3.77,8.9,7.925,5.0,9.0,8.7,,7.5,1
RA-774,2023,ALFA,,Feminino,0.0,9.5,3.14,6.9,6.34,5.0,7.7,6.0,,5.0,1
RA-748,2023,ALFA,,Masculino,9.5,9.7,7.52,9.1,10.01,5.0,9.0,9.2,,7.5,1
RA-749,2023,ALFA,9.0,Masculino,10.0,9.0,7.52,7.3,8.425,5.0,7.3,7.3,,5.625,1
RA-956,2023,ALFA,11.0,Masculino,8.0,7.5,7.52,7.8,9.345,5.0,7.8,7.8,,7.5,1
RA-787,2023,ALFA,,Masculino,9.0,9.8,7.52,5.9,8.34,5.0,6.0,5.8,,5.625,1
RA-957,2023,ALFA,,Feminino,10.0,9.3,7.52,9.1,9.925,10.0,9.0,9.2,,7.5,0
RA-753,2023,ALFA,,Feminino,9.0,9.9,7.52,9.0,9.925,5.0,9.0,9.0,,7.5,1
RA-958,2023,ALFA,,Feminino,10.0,9.8,7.52,9.3,9.84,10.0,9.3,9.3,,7.5,0
RA-755,2023,ALFA,9.0,Masculino,10.0,9.5,7.52,9.2,10.01,5.0,9.2,9.2,,7.5,1
RA-763,2023,ALFA,10.0,Feminino,0.0,9.2,3.14,7.9,9.0,5.0,7.8,8.0,,6.875,1
RA-757,2023,ALFA,10.0,Feminino,9.0,9.6,7.52,9.3,10.01,5.0,9.5,9.0,,7.5,1
RA-959,2023,ALFA,8.0,Masculino,10.0,9.6,7.52,7.7,8.84,10.0,7.7,7.7,,6.875,0
RA-960,2023,ALFA,10.0,Masculino,8.5,10.0,7.52,6.3,5.85,5.0,6.5,6.0,,5.625,1
RA-961,2023,ALFA,9.0,Masculino,0.0,8.7,2.52,6.2,8.665,5.0,6.2,6.2,,5.3125,1
RA-962,2023,ALFA,,Feminino,9.0,9.2,7.52,8.7,10.01,5.0,9.5,7.8,,7.5,1
RA-805,2023,ALFA,9.0,Masculino,0.0,9.1,7.52,6.8,7.175,5.0,6.8,6.8,,6.25,1
RA-806,2023,ALFA,9.0,Masculino,8.5,8.3,6.27,7.8,7.095,5.0,7.8,7.7,,6.875,1
RA-807,2023,ALFA,9.0,Masculino,9.5,9.1,7.52,8.0,8.08,5.0,8.3,7.7,,6.25,1
RA-963,2023,ALFA,,Feminino,9.5,9.8,7.52,8.5,10.01,5.0,8.3,8.7,,7.5,1
RA-964,2023,ALFA,9.0,Masculino,8.5,9.4,7.52,7.2,8.5,5.0,7.3,7.0,,6.875,1
RA-965,2023,ALFA,9.0,Feminino,8.5,8.2,6.27,4.7,7.18,5.0,5.3,4.0,,5.0,1
RA-966,2023,ALFA,,Masculino,10.0,10.0,7.52,5.0,7.675,5.0,5.0,5.0,,6.5625,1
RA-967,2023,ALFA,,Masculino,9.5,8.0,7.52,6.5,7.35,5.0,6.5,6.5,,5.625,1
RA-968,2023,ALFA,,Feminino,9.0,9.7,7.52,8.3,10.01,5.0,8.0,8.5,,7.5,1
RA-812,2023,ALFA,8.0,Masculino,9.5,9.1,7.52,5.8,8.33,10.0,6.3,5.3,,6.875,0
RA-969,2023,ALFA,8.0,Masculino,8.5,9.7,7.52,5.5,7.51,10.0,6.0,5.0,,6.25,0
RA-970,2023,ALFA,,Feminino,8.5,8.1,7.52,9.4,9.84,10.0,9.2,9.5,,9.375,0
RA-971,2023,ALFA,,Masculino,7.8,6.4,3.77,6.9,8.17,10.0,5.5,8.3,,5.625,0
RA-972,2023,ALFA,8.0,Masculino,9.0,9.1,3.77,6.0,7.84,10.0,6.2,5.7,,6.875,0
RA-973,2023,ALFA,,Masculino,0.0,8.6,3.77,5.2,7.415,5.0,6.2,4.1,,7.1875,1
RA-974,2023,ALFA,,Masculino,9.0,9.1,3.77,8.8,9.34,10.0,8.8,8.8,,7.5,0
RA-975,2023,ALFA,,Feminino,7.9,9.2,7.52,6.5,7.67,10.0,7.2,5.8,,5.625,0
RA-976,2023,ALFA,,Masculino,9.5,9.2,6.27,8.6,8.34,10.0,9.0,8.2,,5.9375,0
RA-977,2023,ALFA,7.0,Feminino,8.5,7.4,5.02,5.8,8.085,10.0,5.7,5.9,,5.625,0
RA-978,2023,ALFA,,Feminino,9.0,9.8,3.77,8.6,9.34,10.0,8.7,8.5,,5.625,0
RA-979,2023,ALFA,8.0,Masculino,9.5,9.6,6.27,6.0,9.51,10.0,6.0,6.0,,5.625,0
RA-980,2023,ALFA,8.0,Feminino,0.0,9.8,5.02,6.3,9.34,10.0,6.5,6.0,,5.625,0
RA-808,2023,ALFA,9.0,Masculino,10.0,10.0,2.52,8.7,9.755,5.0,8.7,8.7,,7.5,1
RA-981,2023,ALFA,7.0,Feminino,9.5,9.1,2.52,5.8,9.01,10.0,5.7,5.8,,5.625,0
RA-982,2023,ALFA,7.0,Masculino,0.0,9.1,2.52,8.6,8.835,10.0,8.7,8.5,,5.625,0
RA-983,2023,ALFA,8.0,Masculino,8.5,9.9,2.52,8.8,9.415,10.0,8.8,8.8,,6.25,0
RA-984,2023,ALFA,8.0,Feminino,8.0,9.8,7.52,8.3,9.84,10.0,8.3,8.2,,6.875,0
RA-985,2023,ALFA,8.0,Masculino,9.0,9.3,2.52,6.8,8.5,10.0,7.3,6.2,,5.625,0
RA-986,2023,ALFA,8.0,Feminino,9.5,9.1,2.52,8.3,8.83,10.0,8.3,8.3,,5.625,0
RA-987,2023,ALFA,8.0,Masculino,0.0,9.8,6.27,7.3,9.76,10.0,7.5,7.0,,6.875,0
RA-988,2023,ALFA,,Feminino,7.9,8.1,7.52,8.5,9.84,5.0,8.5,8.5,,6.25,1
RA-989,2023,ALFA,9.0,Masculino,9.5,8.1,2.52,8.3,10.01,5.0,8.7,7.8,,7.5,1
RA-677,2023,ALFA,9.0,Feminino,10.0,8.2,10.0,8.7,9.84,5.0,9.0,8.3,,6.875,1
RA-990,2023,ALFA,,Masculino,0.0,8.5,7.52,7.8,10.01,5.0,8.3,7.2,,7.5,1
RA-991,2023,ALFA,9.0,Feminino,10.0,9.1,3.14,7.7,9.585,5.0,8.0,7.3,,6.875,1
RA-992,2023,ALFA,10.0,Masculino,9.5,8.2,3.14,8.0,8.84,5.0,8.2,7.8,,5.0,1
RA-703,2023,ALFA,11.0,Masculino,9.5,8.4,3.14,4.6,6.16,5.0,4.8,4.3,,6.875,1
RA-993,2023,ALFA,8.0,Feminino,9.5,9.8,3.77,8.6,10.01,10.0,8.5,8.7,,7.5,0
RA-674,2023,ALFA,9.0,Masculino,7.9,8.5,3.77,5.2,8.67,5.0,5.3,5.0,,5.0,1
RA-994,2023,ALFA,8.0,Feminino,9.5,9.4,3.77,6.0,7.265,10.0,6.2,5.7,,5.625,0
RA-995,2023,ALFA,,Feminino,9.5,7.9,3.77,5.1,7.18,5.0,5.3,4.8,,6.25,1
RA-996,2023,ALFA,9.0,Masculino,10.0,9.2,3.77,8.6,10.01,5.0,8.7,8.5,,7.5,1
RA-997,2023,ALFA,8.0,Masculino,7.5,8.7,3.77,7.1,8.595,10.0,7.2,7.0,,5.625,0
RA-998,2023,ALFA,11.0,Feminino,9.5,9.3,3.77,7.9,9.84,5.0,8.0,7.7,,7.5,1
RA-999,2023,ALFA,,Masculino,9.0,9.4,3.77,8.3,9.84,5.0,8.3,8.3,,7.5,1
RA-750,2023,ALFA,,Masculino,9.5,7.7,3.14,3.4,6.32,5.0,3.3,3.5,,4.375,1
RA-770,2023,ALFA,,Masculino,0.0,8.3,3.77,5.9,8.92,10.0,6.0,5.7,,6.875,0
RA-771,2023,ALFA,,Feminino,0.0,8.8,3.14,8.2,8.585,10.0,8.2,8.2,,6.25,0
RA-1000,2023,ALFA,8.0,Feminino,8.5,9.4,3.77,7.0,8.92,10.0,7.0,7.0,,6.25,0
RA-830,2023,ALFA,9.0,Feminino,0.0,8.9,3.14,8.3,9.505,5.0,8.3,8.3,,6.25,1
RA-1001,2023,ALFA,9.0,Feminino,9.0,9.1,7.52,7.8,9.17,5.0,8.3,7.3,,7.5,1
RA-1002,2023,ALFA,9.0,Feminino,9.0,9.7,7.52,7.0,8.92,5.0,7.0,7.0,,6.25,1
RA-1003,2023,ALFA,8.0,Masculino,9.0,8.5,7.52,4.0,8.75,10.0,8.0,0.0,,7.5,0
RA-835,2023,ALFA,8.0,Masculino,8.0,8.5,7.52,8.7,7.835,10.0,8.5,8.9,,6.875,0
RA-1004,2023,ALFA,8.0,Feminino,9.0,9.6,7.52,7.9,7.42,10.0,6.5,9.2,,6.875,0
RA-1005,2023,ALFA,8.0,Masculino,9.5,7.9,7.52,8.8,8.165,10.0,8.4,9.2,,7.5,0
RA-1006,2023,ALFA,8.0,Feminino,9.0,9.3,7.52,8.7,8.0,10.0,8.7,8.6,,7.5,0
RA-705,2023,ALFA,10.0,Masculino,0.0,8.3,6.89,8.8,8.165,5.0,8.9,8.6,,7.5,1
RA-1007,2023,ALFA,,Masculino,9.0,7.4,7.52,8.3,7.68,10.0,8.1,8.5,,7.5,0
RA-1008,2023,ALFA,8.0,Masculino,9.0,8.6,7.52,8.4,7.5,10.0,7.5,9.2,,5.9375,0
RA-729,2023,ALFA,,Feminino,8.0,9.1,3.77,8.6,7.01,5.0,8.2,8.9,,6.5625,1
RA-1009,2023,ALFA,8.0,Masculino,0.0,9.0,3.77,8.8,7.84,10.0,8.3,9.2,,7.5,0
RA-1010,2023,ALFA,8.0,Masculino,9.5,10.0,3.77,9.4,8.59,10.0,9.0,9.8,,7.8125,0
RA-1011,2023,ALFA,,Masculino,9.5,8.6,3.77,5.2,7.675,10.0,5.5,4.8,,7.1875,0
RA-1012,2023,ALFA,8.0,Feminino,10.0,9.9,3.77,6.6,7.845,10.0,7.0,6.2,,7.1875,0
RA-1013,2023,ALFA,7.0,Masculino,9.0,9.6,4.39,8.3,5.76,10.0,7.0,9.5,,5.625,0
RA-1014,2023,ALFA,,Feminino,9.0,9.7,3.77,8.2,8.255,10.0,7.7,8.7,,7.5,0
RA-1015,2023,FASE 1,10.0,Feminino,10.0,9.3,6.27,6.3,7.786666667,5.0,5.0,7.6,,7.34375,1
RA-734,2023,FASE 1,11.0,Feminino,8.5,8.0,7.52,6.9,7.446666667,5.0,6.8,7.0,,7.34375,1
RA-687,2023,FASE 1,10.0,Masculino,8.0,9.0,7.52,6.9,8.226666667,5.0,6.7,7.0,,7.5,1
RA-1016,2023,FASE 1,10.0,Feminino,10.0,9.5,7.52,6.7,7.73,5.0,5.8,7.5,,7.34375,1
RA-1017,2023,FASE 1,,Masculino,0.0,8.0,5.02,7.7,8.116666667,5.0,7.0,8.3,,7.5,1
RA-688,2023,FASE 1,10.0,Masculino,8.5,9.3,7.52,8.6,8.06,5.0,8.2,9.0,,7.5,1
RA-1018,2023,FASE 1,,Masculino,0.0,8.5,5.02,6.3,8.06,10.0,5.8,6.8,,7.5,0
RA-696,2023,FASE 1,,Feminino,0.0,9.4,5.02,6.7,8.503333333,10.0,5.2,8.2,,7.5,0
RA-1019,2023,FASE 1,8.0,Feminino,7.5,9.1,5.02,4.3,7.836666667,10.0,0.5,8.0,,6.875,0
RA-514,2023,FASE 1,,Feminino,7.9,7.5,2.52,5.5,5.896666667,5.0,4.2,6.8,,5.0,1
RA-1020,2023,FASE 1,9.0,Feminino,10.0,9.1,2.52,6.1,8.056666667,10.0,4.3,7.8,,7.1875,0
RA-1021,2023,FASE 1,,Masculino,8.0,9.2,3.77,3.3,7.893333333,10.0,2.5,4.0,,7.1875,0
RA-1022,2023,FASE 1,9.0,Masculino,8.5,8.5,3.77,4.7,7.893333333,10.0,4.7,4.7,,7.1875,0
RA-1023,2023,FASE 1,,Feminino,10.0,10.0,6.27,9.1,9.06,10.0,8.5,9.7,,8.75,0
RA-699,2023,FASE 1,10.0,Masculino,8.5,8.3,3.77,6.0,6.173333333,5.0,5.7,6.2,,5.78125,1
RA-480,2023,FASE 1,11.0,Feminino,10.0,9.7,7.52,7.9,8.336666667,5.0,7.2,8.5,,7.96875,1
RA-678,2023,FASE 1,10.0,Masculino,8.0,8.8,6.27,7.3,8.336666667,5.0,6.8,7.7,,7.65625,1
RA-1024,2023,FASE 1,10.0,Feminino,0.0,10.0,6.27,9.8,8.95,5.0,10.0,9.5,,9.21875,1
RA-502,2023,FASE 1,9.0,Feminino,8.5,9.8,7.52,8.0,8.95,10.0,6.7,9.3,,7.96875,0
RA-1025,2023,FASE 1,9.0,Masculino,8.5,8.9,7.52,7.5,7.836666667,10.0,7.5,7.5,,7.65625,0
RA-680,2023,FASE 1,,Feminino,0.0,9.1,7.52,6.4,7.78,5.0,5.2,7.5,,6.875,1
RA-1026,2023,FASE 1,,Feminino,8.5,9.8,7.52,3.2,7.06,2.5,2.3,4.0,,6.40625,1
RA-698,2023,FASE 1,9.0,Masculino,8.5,9.9,2.52,5.7,8.113333333,10.0,4.3,7.0,,7.1875,0
RA-533,2023,FASE 1,,Masculino,9.0,9.3,7.52,5.8,7.613333333,5.0,4.8,6.7,,7.5,1
RA-504,2023,FASE 1,9.0,Feminino,8.0,8.3,7.52,7.9,8.836666667,10.0,6.5,9.2,,7.5,0
RA-1027,2023,FASE 1,10.0,Feminino,9.5,9.7,7.52,6.0,8.333333333,5.0,4.2,7.7,,7.5,1
RA-529,2023,FASE 1,,Masculino,8.0,9.6,7.52,6.8,6.893333333,5.0,4.8,8.7,,5.78125,1
RA-1028,2023,FASE 1,11.0,Masculino,0.0,9.2,7.52,5.0,7.946666667,5.0,5.0,5.0,,7.34375,1
RA-686,2023,FASE 1,10.0,Feminino,8.5,9.0,7.52,8.0,8.56,5.0,7.3,8.7,,7.5,1
RA-1029,2023,FASE 1,9.0,Feminino,10.0,6.3,3.77,5.4,8.006666667,10.0,3.5,7.2,,7.5,0
RA-1030,2023,FASE 1,,Masculino,8.5,9.7,3.77,6.9,8.39,5.0,6.2,7.5,,6.875,1
RA-522,2023,FASE 1,,Masculino,7.5,9.2,7.52,8.3,8.45,5.0,8.3,8.2,,7.083333333,1
RA-501,2023,FASE 1,10.0,Masculino,7.0,8.4,7.52,8.9,9.396666667,5.0,9.2,8.5,,8.541666667,1
RA-692,2023,FASE 1,10.0,Feminino,7.4,7.7,7.52,4.6,7.39,5.0,2.8,6.3,,6.666666667,1
RA-527,2023,FASE 1,,Feminino,9.0,9.1,7.52,6.5,7.78,5.0,5.7,7.2,,7.5,1
RA-1031,2023,FASE 1,10.0,Masculino,8.0,8.8,7.52,5.9,7.006666667,5.0,4.8,7.0,,6.666666667,1
RA-1032,2023,FASE 1,,Masculino,8.5,9.5,7.52,6.0,7.563333333,5.0,5.7,6.2,,7.291666667,1
RA-1033,2023,FASE 1,,Feminino,9.0,8.9,7.52,7.9,9.006666667,5.0,7.0,8.8,,8.125,1
RA-1034,2023,FASE 1,10.0,Masculino,7.5,9.0,7.52,8.3,8.393333333,5.0,7.8,8.7,,8.333333333,1
RA-1035,2023,FASE 1,9.0,Masculino,0.0,8.3,7.52,5.8,7.78,10.0,4.0,7.5,,7.708333333,0
RA-730,2023,FASE 1,10.0,Feminino,10.0,8.7,5.02,7.8,8.67,5.0,7.8,7.7,,9.53125,1
RA-855,2023,FASE 1,9.0,Feminino,9.5,10.0,7.52,6.8,8.67,10.0,5.2,8.3,,8.4375,0
RA-820,2023,FASE 1,10.0,Masculino,7.9,7.4,7.52,8.9,8.28,5.0,9.2,8.5,,9.0625,1
RA-738,2023,FASE 1,,Feminino,8.0,9.3,7.52,6.0,8.336666667,10.0,4.2,7.8,,8.4375,0
RA-1036,2023,FASE 1,11.0,Feminino,0.0,9.6,3.77,8.0,8.336666667,5.0,9.0,7.0,,9.0625,1
RA-1037,2023,FASE 1,10.0,Masculino,9.0,8.4,7.52,6.7,8.17,5.0,5.0,8.3,,8.59375,1
RA-576,2023,FASE 1,11.0,Feminino,9.0,9.3,5.02,8.0,8.503333333,5.0,6.5,9.5,,9.21875,1
RA-1038,2023,FASE 1,10.0,Feminino,8.0,9.3,7.52,6.5,8.17,5.0,7.5,5.5,,8.90625,1
RA-1039,2023,FASE 1,,Masculino,8.0,9.9,7.52,6.2,8.056666667,5.0,6.0,6.3,,8.125,1
RA-1040,2023,FASE 1,,Masculino,10.0,9.3,7.52,6.6,8.06,5.0,5.8,7.3,,7.8125,1
RA-1041,2023,FASE 1,10.0,Feminino,10.0,7.2,7.52,3.3,8.003333333,5.0,1.8,4.7,,7.8125,1
RA-733,2023,FASE 1,9.0,Feminino,10.0,8.7,7.52,6.2,8.893333333,10.0,4.3,8.0,,8.333333333,0
RA-837,2023,FASE 1,,Masculino,9.0,9.3,7.52,7.0,7.836666667,10.0,6.3,7.7,,7.916666667,0
RA-519,2023,FASE 1,10.0,Masculino,9.0,9.9,7.52,7.4,8.223333333,5.0,7.5,7.2,,7.708333333,1
RA-521,2023,FASE 1,,Masculino,0.0,9.9,3.77,7.9,8.166666667,5.0,7.0,8.7,,7.083333333,1
RA-1042,2023,FASE 1,,Masculino,0.0,6.5,3.77,4.3,7.666666667,5.0,4.0,4.5,,7.708333333,1
RA-713,2023,FASE 1,10.0,Masculino,8.0,9.6,3.77,7.5,8.166666667,5.0,6.7,8.2,,6.875,1
RA-736,2023,FASE 1,10.0,Masculino,8.5,9.5,6.27,6.7,8.11,5.0,4.8,8.5,,7.708333333,1
RA-1043,2023,FASE 1,10.0,Masculino,10.0,7.9,6.27,2.5,7.833333333,5.0,2.0,3.0,,7.708333333,1
RA-716,2023,FASE 1,10.0,Masculino,9.0,8.7,3.77,5.6,7.443333333,5.0,5.0,6.2,,6.875,1
RA-1044,2023,FASE 1,10.0,Feminino,8.0,9.7,7.52,6.1,8.336666667,5.0,4.5,7.7,,7.5,1
RA-745,2023,FASE 1,,Masculino,9.5,9.3,3.77,7.0,8.893333333,5.0,5.7,8.2,,8.125,1
RA-717,2023,FASE 1,11.0,Feminino,0.0,8.5,7.52,5.9,8.446666667,5.0,5.5,6.3,,8.125,1
RA-718,2023,FASE 1,,Feminino,9.5,9.1,3.77,7.8,8.39,10.0,6.3,9.2,,7.916666667,0
RA-721,2023,FASE 1,9.0,Feminino,8.5,9.5,7.52,8.4,8.443333333,10.0,7.5,9.3,,8.125,0
RA-746,2023,FASE 1,,Masculino,0.0,8.0,3.77,7.2,7.113333333,10.0,6.0,8.3,,6.875,0
RA-1045,2023,FASE 1,11.0,Feminino,9.5,9.4,7.52,7.9,8.28,5.0,6.8,9.0,,7.708333333,1
RA-483,2023,FASE 1,12.0,Feminino,9.0,6.0,2.52,5.6,8.166666667,5.0,5.0,6.2,,7.916666667,1
RA-1046,2023,FASE 1,9.0,Masculino,0.0,8.5,3.77,6.3,8.223333333,10.0,6.3,6.3,,8.541666667,0
RA-1047,2023,FASE 1,9.0,Masculino,10.0,8.5,3.77,6.9,7.893333333,10.0,5.8,8.0,,8.125,0
RA-570,2023,FASE 1,,Feminino,8.5,7.3,3.77,5.9,8.056666667,5.0,5.7,6.0,,8.125,1
RA-1048,2023,FASE 1,10.0,Feminino,8.5,9.5,3.77,8.2,8.5,5.0,7.5,8.8,,8.541666667,1
RA-1049,2023,FASE 1,10.0,Masculino,10.0,7.7,7.52,6.3,7.943333333,5.0,5.5,7.0,,8.125,1
RA-1050,2023,FASE 1,11.0,Masculino,9.0,9.2,6.27,7.2,8.223333333,5.0,6.2,8.2,,8.125,1
RA-1051,2023,FASE 1,9.0,Feminino,8.5,8.9,6.27,8.4,8.613333333,10.0,7.0,9.8,,8.75,0
RA-707,2023,FASE 1,,Feminino,0.0,9.8,3.77,6.5,7.946666667,5.0,5.5,7.5,,7.916666667,1
RA-1052,2023,FASE 1,,Masculino,0.0,9.0,7.52,5.3,7.833333333,10.0,5.0,5.5,,7.916666667,0
RA-580,2023,FASE 1,11.0,Feminino,8.5,9.8,7.52,9.0,8.67,5.0,8.7,9.3,,8.75,1
RA-581,2023,FASE 1,11.0,Masculino,8.0,9.8,7.52,7.9,7.393333333,5.0,7.0,8.8,,6.458333333,1
RA-735,2023,FASE 1,11.0,Feminino,0.0,9.0,7.52,8.1,8.393333333,5.0,7.7,8.5,,8.333333333,1
RA-710,2023,FASE 1,,Masculino,9.5,9.0,3.77,6.5,7.113333333,5.0,5.7,7.3,,7.083333333,1
RA-712,2023,FASE 1,12.0,Masculino,9.5,5.6,3.14,6.7,6.836666667,5.0,5.5,7.8,,7.5,1
RA-549,2023,FASE 1,,Masculino,9.5,8.1,5.02,6.4,7.5,5.0,5.5,7.2,,6.875,1
RA-679,2023,FASE 1,11.0,Masculino,7.5,7.5,5.02,3.6,7.393333333,5.0,2.0,5.2,,6.875,1
RA-571,2023,FASE 1,12.0,Feminino,9.0,7.9,3.77,5.0,7.616666667,5.0,3.8,6.2,,7.291666667,1
RA-714,2023,FASE 1,12.0,Masculino,0.0,8.0,3.14,7.4,7.223333333,5.0,6.7,8.0,,7.5,1
RA-737,2023,FASE 1,9.0,Feminino,9.5,7.8,7.52,7.5,7.783333333,10.0,7.0,8.0,,7.291666667,0
RA-577,2023,FASE 1,11.0,Feminino,10.0,8.2,3.77,7.4,7.673333333,5.0,6.5,8.3,,6.875,1
RA-1053,2023,FASE 1,9.0,Masculino,0.0,9.1,6.27,8.6,8.616666667,10.0,7.8,9.3,,8.958333333,0
